Date,Day,Branch,Open,Close,Reason,ReturnChutesOpen
2025-12-19,Friday,Dickson,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-19,Friday,Erindale,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-19,Friday,Gungahlin,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-19,Friday,Kingston,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-19,Friday,Kippax,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-19,Friday,Tuggeranong,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-19,Friday,Woden,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-20,Saturday,Belconnen,10:00,16:00,Summer Hours 2025-6,TRUE
2025-12-20,Saturday,Civic,,,Summer Hours 2025-6,TRUE
2025-12-20,Saturday,Dickson,10:00,16:00,Summer Hours 2025-6,TRUE
2025-12-20,Saturday,Erindale,,,Summer Hours 2025-6,TRUE
2025-12-20,Saturday,Gungahlin,10:00,16:00,Summer Hours 2025-6,TRUE
2025-12-20,Saturday,Kingston,10:00,16:00,Summer Hours 2025-6,TRUE
2025-12-20,Saturday,Kippax,10:00,16:00,Summer Hours 2025-6,TRUE
2025-12-20,Saturday,Tuggeranong,10:00,16:00,Summer Hours 2025-6,TRUE
2025-12-20,Saturday,Woden,10:00,16:00,Summer Hours 2025-6,TRUE
2025-12-21,Sunday,Belconnen,,,Summer Hours 2025-6,TRUE
2025-12-21,Sunday,Civic,,,Summer Hours 2025-6,TRUE
2025-12-21,Sunday,Dickson,,,Summer Hours 2025-6,TRUE
2025-12-21,Sunday,Erindale,,,Summer Hours 2025-6,TRUE
2025-12-21,Sunday,Gungahlin,,,Summer Hours 2025-6,TRUE
2025-12-21,Sunday,Kingston,,,Summer Hours 2025-6,TRUE
2025-12-21,Sunday,Kippax,,,Summer Hours 2025-6,TRUE
2025-12-21,Sunday,Tuggeranong,,,Summer Hours 2025-6,TRUE
2025-12-21,Sunday,Woden,,,Summer Hours 2025-6,TRUE
2025-12-22,Monday,Belconnen,,,Summer Hours 2025-6,TRUE
2025-12-22,Monday,Civic,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-22,Monday,Dickson,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-22,Monday,Erindale,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-22,Monday,Gungahlin,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-22,Monday,Kingston,,,Summer Hours 2025-6,TRUE
2025-12-22,Monday,Kippax,,,Summer Hours 2025-6,TRUE
2025-12-22,Monday,Tuggeranong,,,Summer Hours 2025-6,TRUE
2025-12-22,Monday,Woden,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-23,Tuesday,Belconnen,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-23,Tuesday,Civic,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-23,Tuesday,Dickson,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-23,Tuesday,Erindale,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-23,Tuesday,Gungahlin,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-23,Tuesday,Kingston,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-23,Tuesday,Kippax,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-23,Tuesday,Tuggeranong,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-23,Tuesday,Woden,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-24,Wednesday,Dickson,,,End of Year Closedown,FALSE
2025-12-24,Wednesday,Gungahlin,,,End of Year Closedown,FALSE
2025-12-24,Wednesday,Woden,,,End of Year Closedown,FALSE
2025-12-24,Wednesday,Civic,,,End of Year Closedown,FALSE
2025-12-24,Wednesday,Erindale,,,End of Year Closedown,FALSE
2025-12-24,Wednesday,Belconnen,,,End of Year Closedown,FALSE
2025-12-24,Wednesday,Kingston,,,End of Year Closedown,FALSE
2025-12-24,Wednesday,Kippax,,,End of Year Closedown,FALSE
2025-12-24,Wednesday,Tuggeranong,,,End of Year Closedown,FALSE
2025-12-25,Thursday,Dickson,,,Christmas Day,FALSE
2025-12-25,Thursday,Gungahlin,,,Christmas Day,FALSE
2025-12-25,Thursday,Woden,,,Christmas Day,FALSE
2025-12-25,Thursday,Civic,,,Christmas Day,FALSE
2025-12-25,Thursday,Erindale,,,Christmas Day,FALSE
2025-12-25,Thursday,Belconnen,,,Christmas Day,FALSE
2025-12-25,Thursday,Kingston,,,Christmas Day,FALSE
2025-12-25,Thursday,Kippax,,,Christmas Day,FALSE
2025-12-25,Thursday,Tuggeranong,,,Christmas Day,FALSE
2025-12-26,Friday,Dickson,,,Boxing Day,FALSE
2025-12-26,Friday,Gungahlin,,,Boxing Day,FALSE
2025-12-26,Friday,Woden,,,Boxing Day,FALSE
2025-12-26,Friday,Civic,,,Boxing Day,FALSE
2025-12-26,Friday,Erindale,,,Boxing Day,FALSE
2025-12-26,Friday,Belconnen,,,Boxing Day,FALSE
2025-12-26,Friday,Kingston,,,Boxing Day,FALSE
2025-12-26,Friday,Kippax,,,Boxing Day,FALSE
2025-12-26,Friday,Tuggeranong,,,Boxing Day,FALSE
2025-12-27,Saturday,Dickson,,,End of Year Closedown,FALSE
2025-12-27,Saturday,Gungahlin,,,End of Year Closedown,FALSE
2025-12-27,Saturday,Woden,,,End of Year Closedown,FALSE
2025-12-27,Saturday,Civic,,,End of Year Closedown,FALSE
2025-12-27,Saturday,Erindale,,,End of Year Closedown,FALSE
2025-12-27,Saturday,Belconnen,,,End of Year Closedown,FALSE
2025-12-27,Saturday,Kingston,,,End of Year Closedown,FALSE
2025-12-27,Saturday,Kippax,,,End of Year Closedown,FALSE
2025-12-27,Saturday,Tuggeranong,,,End of Year Closedown,FALSE
2025-12-28,Sunday,Dickson,,,End of Year Closedown,FALSE
2025-12-28,Sunday,Gungahlin,,,End of Year Closedown,FALSE
2025-12-28,Sunday,Woden,,,End of Year Closedown,FALSE
2025-12-28,Sunday,Civic,,,End of Year Closedown,FALSE
2025-12-28,Sunday,Erindale,,,End of Year Closedown,FALSE
2025-12-28,Sunday,Belconnen,,,End of Year Closedown,FALSE
2025-12-28,Sunday,Kingston,,,End of Year Closedown,FALSE
2025-12-28,Sunday,Kippax,,,End of Year Closedown,FALSE
2025-12-28,Sunday,Tuggeranong,,,End of Year Closedown,FALSE
2025-12-29,Monday,Dickson,,,End of Year Closedown,FALSE
2025-12-29,Monday,Gungahlin,,,End of Year Closedown,FALSE
2025-12-29,Monday,Woden,,,End of Year Closedown,FALSE
2025-12-29,Monday,Civic,,,End of Year Closedown,FALSE
2025-12-29,Monday,Erindale,,,End of Year Closedown,FALSE
2025-12-29,Monday,Belconnen,,,End of Year Closedown,FALSE
